Year/Month,County,Unemployment Rate,National Unemployment,State Unemployment
11/01/1993,Cowlitz County                                              ,9.8%,6.2%,6.6%
11/01/1993,Pacific County                                              ,12.2%,6.2%,6.6%
11/01/1993,Grays Harbor County                                         ,14.3%,6.2%,6.6%
11/01/1993,Kittitas County                                             ,7.8%,6.2%,6.6%
11/01/1993,Yakima MSA                                                  ,13%,6.2%,6.6%
11/01/1993,Bremerton-Silverdale MSA                                    ,6%,6.2%,6.6%
11/01/1993,Pend Oreille County                                         ,10.7%,6.2%,6.6%
11/01/1993,Walla Walla County                                          ,5.1%,6.2%,6.6%
11/01/1993,Asotin County                                               ,3.4%,6.2%,6.6%
11/01/1993,Kennewick-Richland-Pasco MSA                                ,7.3%,6.2%,6.6%
11/01/1993,Douglas County                                              ,7.4%,6.2%,6.6%
11/01/1993,Skagit County                                               ,9.8%,6.2%,6.6%
11/01/1993,Ferry County                                                ,12.1%,6.2%,6.6%
11/01/1993,San Juan County                                             ,6.9%,6.2%,6.6%
12/01/1993,Bremerton-Silverdale MSA                                    ,5.9%,6.1%,6.7%
12/01/1993,Whatcom County                                              ,6.7%,6.1%,6.7%
12/01/1993,Pacific County                                              ,10.7%,6.1%,6.7%
12/01/1993,Okanogan County                                             ,13.2%,6.1%,6.7%
12/01/1993,Walla Walla County                                          ,7.1%,6.1%,6.7%
12/01/1993,Benton County                                               ,6.3%,6.1%,6.7%
12/01/1993,Wenatchee MSA                                               ,9.7%,6.1%,6.7%
12/01/1993,Chelan County                                               ,10.3%,6.1%,6.7%
12/01/1993,Clallam County                                              ,10.2%,6.1%,6.7%
12/01/1993,Tacoma MSA                                                  ,6.6%,6.1%,6.7%
12/01/1993,Clark County                                                ,4.8%,6.1%,6.7%
12/01/1993,Stevens County                                              ,9.5%,6.1%,6.7%
12/01/1993,Adams County                                                ,17.8%,6.1%,6.7%
12/01/1993,Columbia County                                             ,16.5%,6.1%,6.7%
12/01/1993,Cowlitz County                                              ,9.9%,6.1%,6.7%
12/01/1993,Spokane MSA                                                 ,5.1%,6.1%,6.7%
12/01/1993,Snohomish County                                            ,6.2%,6.1%,6.7%
12/01/1993,Skagit County                                               ,10.5%,6.1%,6.7%
12/01/1993,Seattle-Bellevue-Everett MSA                                ,5.5%,6.1%,6.7%
12/01/1993,Spokane County                                              ,5.1%,6.1%,6.7%
12/01/1993,Douglas County                                              ,8.5%,6.1%,6.7%
12/01/1993,Ferry County                                                ,14.3%,6.1%,6.7%
12/01/1993,Olympia MSA                                                 ,6.4%,6.1%,6.7%
12/01/1993,Yakima MSA                                                  ,14.7%,6.1%,6.7%
12/01/1993,Franklin County                                             ,10.9%,6.1%,6.7%
12/01/1993,Garfield County                                             ,7.1%,6.1%,6.7%
12/01/1993,Mount Vernon-Anacortes MSA                                  ,10.5%,6.1%,6.7%
12/01/1993,Grant County                                                ,10.9%,6.1%,6.7%
12/01/1993,Grays Harbor County                                         ,13.5%,6.1%,6.7%
12/01/1993,Longview MSA                                                ,9.9%,6.1%,6.7%
12/01/1993,Asotin County                                               ,3.9%,6.1%,6.7%
12/01/1993,San Juan County                                             ,7.6%,6.1%,6.7%
12/01/1993,Thurston County                                             ,6.4%,6.1%,6.7%
12/01/1993,Island County                                               ,4.8%,6.1%,6.7%
12/01/1993,Kennewick-Richland-Pasco MSA                                ,7.4%,6.1%,6.7%
12/01/1993,Jefferson County                                            ,8.1%,6.1%,6.7%
12/01/1993,Pierce County                                               ,6.6%,6.1%,6.7%
12/01/1993,King County                                                 ,5.3%,6.1%,6.7%
12/01/1993,Wahkiakum County                                            ,8.7%,6.1%,6.7%
12/01/1993,Kitsap County                                               ,5.9%,6.1%,6.7%
12/01/1993,Bellingham MSA                                              ,6.7%,6.1%,6.7%
12/01/1993,Kittitas County                                             ,9.5%,6.1%,6.7%
12/01/1993,Yakima County                                               ,14.7%,6.1%,6.7%
12/01/1993,Klickitat County                                            ,12.2%,6.1%,6.7%
12/01/1993,Skamania County                                             ,12.3%,6.1%,6.7%
12/01/1993,Lewis County                                                ,9.9%,6.1%,6.7%
12/01/1993,Pend Oreille County                                         ,11.7%,6.1%,6.7%
12/01/1993,Lincoln County                                              ,6.9%,6.1%,6.7%
12/01/1993,Whitman County                                              ,2.2%,6.1%,6.7%
12/01/1993,Mason County                                                ,7.9%,6.1%,6.7%
01/01/1994,Chelan County                                               ,11.9%,7.3%,7.9%
01/01/1994,Yakima County                                               ,16.7%,7.3%,7.9%
01/01/1994,Mason County                                                ,9.6%,7.3%,7.9%
01/01/1994,Whitman County                                              ,2.9%,7.3%,7.9%
01/01/1994,Adams County                                                ,20%,7.3%,7.9%
01/01/1994,Garfield County                                             ,8.4%,7.3%,7.9%
01/01/1994,Mount Vernon-Anacortes MSA                                  ,12.5%,7.3%,7.9%
01/01/1994,Snohomish County                                            ,7.3%,7.3%,7.9%
01/01/1994,Skamania County                                             ,17%,7.3%,7.9%
01/01/1994,Jefferson County                                            ,11.5%,7.3%,7.9%
01/01/1994,Lewis County                                                ,11.2%,7.3%,7.9%
01/01/1994,Longview MSA                                                ,11.5%,7.3%,7.9%
01/01/1994,Klickitat County                                            ,17.2%,7.3%,7.9%
01/01/1994,Stevens County                                              ,11.9%,7.3%,7.9%
01/01/1994,Clallam County                                              ,11.8%,7.3%,7.9%
01/01/1994,Grant County                                                ,13.7%,7.3%,7.9%
01/01/1994,Pacific County                                              ,12.3%,7.3%,7.9%
01/01/1994,Grays Harbor County                                         ,15.8%,7.3%,7.9%
01/01/1994,Spokane County                                              ,6.6%,7.3%,7.9%
01/01/1994,Clark County                                                ,5.6%,7.3%,7.9%
01/01/1994,Walla Walla County                                          ,9.4%,7.3%,7.9%
01/01/1994,Yakima MSA                                                  ,16.7%,7.3%,7.9%
01/01/1994,Kittitas County                                             ,11.9%,7.3%,7.9%
01/01/1994,Seattle-Bellevue-Everett MSA                                ,6.3%,7.3%,7.9%
01/01/1994,Pierce County                                               ,7.9%,7.3%,7.9%
01/01/1994,Okanogan County                                             ,14.4%,7.3%,7.9%
01/01/1994,Wenatchee MSA                                               ,11.2%,7.3%,7.9%
01/01/1994,Spokane MSA                                                 ,6.6%,7.3%,7.9%
01/01/1994,Island County                                               ,5.8%,7.3%,7.9%
01/01/1994,Skagit County                                               ,12.5%,7.3%,7.9%
01/01/1994,Lincoln County                                              ,8.5%,7.3%,7.9%
01/01/1994,Benton County                                               ,7.2%,7.3%,7.9%
01/01/1994,Bremerton-Silverdale MSA                                    ,7%,7.3%,7.9%
01/01/1994,Franklin County                                             ,12.6%,7.3%,7.9%
01/01/1994,Douglas County                                              ,9.8%,7.3%,7.9%
01/01/1994,Kitsap County                                               ,7%,7.3%,7.9%
01/01/1994,King County                                                 ,6%,7.3%,7.9%
01/01/1994,Pend Oreille County                                         ,15%,7.3%,7.9%
01/01/1994,Olympia MSA                                                 ,7.5%,7.3%,7.9%
01/01/1994,Thurston County                                             ,7.5%,7.3%,7.9%
01/01/1994,Whatcom County                                              ,8.8%,7.3%,7.9%
01/01/1994,Ferry County                                                ,17.7%,7.3%,7.9%
01/01/1994,Tacoma MSA                                                  ,7.9%,7.3%,7.9%
01/01/1994,San Juan County                                             ,10.9%,7.3%,7.9%
01/01/1994,Columbia County                                             ,19.3%,7.3%,7.9%
01/01/1994,Bellingham MSA                                              ,8.8%,7.3%,7.9%
01/01/1994,Wahkiakum County                                            ,8.1%,7.3%,7.9%
01/01/1994,Kennewick-Richland-Pasco MSA                                ,8.5%,7.3%,7.9%
01/01/1994,Asotin County                                               ,5.3%,7.3%,7.9%
01/01/1994,Cowlitz County                                              ,11.5%,7.3%,7.9%
02/01/1994,Klickitat County                                            ,15.9%,7.1%,8%
02/01/1994,Lewis County                                                ,11%,7.1%,8%
02/01/1994,Longview MSA                                                ,11.1%,7.1%,8%
02/01/1994,Douglas County                                              ,9.6%,7.1%,8%
02/01/1994,Mount Vernon-Anacortes MSA                                  ,12%,7.1%,8%
02/01/1994,San Juan County                                             ,11.1%,7.1%,8%
02/01/1994,Pacific County                                              ,11.6%,7.1%,8%
02/01/1994,King County                                                 ,6.2%,7.1%,8%
02/01/1994,Bremerton-Silverdale MSA                                    ,7.3%,7.1%,8%
02/01/1994,Tacoma MSA                                                  ,8%,7.1%,8%
02/01/1994,Bellingham MSA                                              ,8.9%,7.1%,8%
02/01/1994,Kittitas County                                             ,11.8%,7.1%,8%
02/01/1994,Wenatchee MSA                                               ,11.3%,7.1%,8%
02/01/1994,Pend Oreille County                                         ,15.5%,7.1%,8%
02/01/1994,Whatcom County                                              ,8.9%,7.1%,8%
02/01/1994,Grays Harbor County                                         ,15.4%,7.1%,8%
02/01/1994,Grant County                                                ,14.7%,7.1%,8%
02/01/1994,Snohomish County                                            ,7.5%,7.1%,8%
02/01/1994,Skamania County                                             ,16.6%,7.1%,8%
02/01/1994,Mason County                                                ,10.2%,7.1%,8%
02/01/1994,Spokane County                                              ,6.9%,7.1%,8%
02/01/1994,Garfield County                                             ,8.6%,7.1%,8%
02/01/1994,Clallam County                                              ,12.3%,7.1%,8%
02/01/1994,Pierce County                                               ,8%,7.1%,8%
02/01/1994,Walla Walla County                                          ,9.1%,7.1%,8%
02/01/1994,Chelan County                                               ,12.3%,7.1%,8%
02/01/1994,Kennewick-Richland-Pasco MSA                                ,8.5%,7.1%,8%
02/01/1994,Cowlitz County                                              ,11.1%,7.1%,8%
02/01/1994,Stevens County                                              ,12.3%,7.1%,8%
02/01/1994,Ferry County                                                ,17.7%,7.1%,8%
02/01/1994,Olympia MSA                                                 ,7.4%,7.1%,8%
02/01/1994,Whitman County                                              ,2.7%,7.1%,8%
02/01/1994,Adams County                                                ,16.9%,7.1%,8%
02/01/1994,Wahkiakum County                                            ,7.8%,7.1%,8%
02/01/1994,Columbia County                                             ,19.9%,7.1%,8%
02/01/1994,Asotin County                                               ,5.4%,7.1%,8%
02/01/1994,Clark County                                                ,5.6%,7.1%,8%
02/01/1994,Seattle-Bellevue-Everett MSA                                ,6.5%,7.1%,8%
02/01/1994,Thurston County                                             ,7.4%,7.1%,8%
02/01/1994,Yakima MSA                                                  ,17.1%,7.1%,8%
02/01/1994,Kitsap County                                               ,7.3%,7.1%,8%
02/01/1994,Benton County                                               ,7.2%,7.1%,8%
02/01/1994,Lincoln County                                              ,8.1%,7.1%,8%
02/01/1994,Yakima County                                               ,17.1%,7.1%,8%
02/01/1994,Okanogan County                                             ,13.6%,7.1%,8%
02/01/1994,Island County                                               ,6.9%,7.1%,8%
02/01/1994,Jefferson County                                            ,11.8%,7.1%,8%
02/01/1994,Spokane MSA                                                 ,6.9%,7.1%,8%
02/01/1994,Skagit County                                               ,12%,7.1%,8%
02/01/1994,Franklin County                                             ,12.5%,7.1%,8%
03/01/1994,Okanogan County                                             ,13.3%,6.8%,7.6%
03/01/1994,Garfield County                                             ,7%,6.8%,7.6%
03/01/1994,Stevens County                                              ,12.7%,6.8%,7.6%
03/01/1994,Jefferson County                                            ,11.1%,6.8%,7.6%
03/01/1994,Whatcom County                                              ,8.4%,6.8%,7.6%
03/01/1994,Whitman County                                              ,2.5%,6.8%,7.6%
03/01/1994,Bellingham MSA                                              ,8.4%,6.8%,7.6%
03/01/1994,Pend Oreille County                                         ,16.3%,6.8%,7.6%
03/01/1994,San Juan County                                             ,10%,6.8%,7.6%
03/01/1994,Franklin County                                             ,11.1%,6.8%,7.6%
03/01/1994,King County                                                 ,5.7%,6.8%,7.6%
03/01/1994,Yakima MSA                                                  ,15.5%,6.8%,7.6%
03/01/1994,Asotin County                                               ,4.8%,6.8%,7.6%
03/01/1994,Ferry County                                                ,20.1%,6.8%,7.6%
03/01/1994,Benton County                                               ,6.2%,6.8%,7.6%
03/01/1994,Kitsap County                                               ,7.3%,6.8%,7.6%
03/01/1994,Douglas County                                              ,9.2%,6.8%,7.6%
03/01/1994,Kittitas County                                             ,11.9%,6.8%,7.6%
03/01/1994,Thurston County                                             ,7.1%,6.8%,7.6%
03/01/1994,Wenatchee MSA                                               ,10.4%,6.8%,7.6%
03/01/1994,Spokane County                                              ,6.3%,6.8%,7.6%
03/01/1994,Klickitat County                                            ,17.2%,6.8%,7.6%
03/01/1994,Cowlitz County                                              ,10.8%,6.8%,7.6%
03/01/1994,Pierce County                                               ,8%,6.8%,7.6%
03/01/1994,Walla Walla County                                          ,8.3%,6.8%,7.6%
03/01/1994,Tacoma MSA                                                  ,8%,6.8%,7.6%
03/01/1994,Columbia County                                             ,19.1%,6.8%,7.6%
03/01/1994,Lewis County                                                ,10.3%,6.8%,7.6%
03/01/1994,Bremerton-Silverdale MSA                                    ,7.3%,6.8%,7.6%
03/01/1994,Clark County                                                ,5.4%,6.8%,7.6%
03/01/1994,Lincoln County                                              ,7.6%,6.8%,7.6%
03/01/1994,Spokane MSA                                                 ,6.3%,6.8%,7.6%
03/01/1994,Yakima County                                               ,15.5%,6.8%,7.6%
03/01/1994,Clallam County                                              ,11.7%,6.8%,7.6%
03/01/1994,Mason County                                                ,10.6%,6.8%,7.6%
03/01/1994,Kennewick-Richland-Pasco MSA                                ,7.4%,6.8%,7.6%
03/01/1994,Wahkiakum County                                            ,7.6%,6.8%,7.6%
03/01/1994,Snohomish County                                            ,6.9%,6.8%,7.6%
03/01/1994,Chelan County                                               ,11.1%,6.8%,7.6%
03/01/1994,Seattle-Bellevue-Everett MSA                                ,6%,6.8%,7.6%
03/01/1994,Skamania County                                             ,15.2%,6.8%,7.6%
03/01/1994,Skagit County                                               ,10.9%,6.8%,7.6%
03/01/1994,Pacific County                                              ,11.7%,6.8%,7.6%
03/01/1994,Longview MSA                                                ,10.8%,6.8%,7.6%
03/01/1994,Olympia MSA                                                 ,7.1%,6.8%,7.6%
03/01/1994,Grays Harbor County                                         ,15.1%,6.8%,7.6%
03/01/1994,Adams County                                                ,15.9%,6.8%,7.6%
03/01/1994,Mount Vernon-Anacortes MSA                                  ,10.9%,6.8%,7.6%
03/01/1994,Grant County                                                ,12.3%,6.8%,7.6%
03/01/1994,Island County                                               ,5.8%,6.8%,7.6%
04/01/1994,Kitsap County                                               ,6.6%,6.2%,6.7%
04/01/1994,Tacoma MSA                                                  ,7.3%,6.2%,6.7%
04/01/1994,Klickitat County                                            ,12.9%,6.2%,6.7%
04/01/1994,Pend Oreille County                                         ,13.7%,6.2%,6.7%
04/01/1994,Bellingham MSA                                              ,7.1%,6.2%,6.7%
04/01/1994,Pierce County                                               ,7.3%,6.2%,6.7%
04/01/1994,Grays Harbor County                                         ,13.3%,6.2%,6.7%
04/01/1994,Columbia County                                             ,10.2%,6.2%,6.7%
04/01/1994,Spokane MSA                                                 ,5%,6.2%,6.7%
04/01/1994,Thurston County                                             ,6.6%,6.2%,6.7%
04/01/1994,Ferry County                                                ,15.4%,6.2%,6.7%
04/01/1994,Kittitas County                                             ,10.1%,6.2%,6.7%
04/01/1994,Franklin County                                             ,9.4%,6.2%,6.7%
04/01/1994,Wenatchee MSA                                               ,9.7%,6.2%,6.7%
04/01/1994,San Juan County                                             ,7.4%,6.2%,6.7%
04/01/1994,Island County                                               ,4.7%,6.2%,6.7%
04/01/1994,Seattle-Bellevue-Everett MSA                                ,5.6%,6.2%,6.7%
04/01/1994,Skagit County                                               ,10.4%,6.2%,6.7%
04/01/1994,Clark County                                                ,4.6%,6.2%,6.7%
04/01/1994,Olympia MSA                                                 ,6.6%,6.2%,6.7%
04/01/1994,Walla Walla County                                          ,5.7%,6.2%,6.7%
04/01/1994,Skamania County                                             ,12%,6.2%,6.7%
04/01/1994,Grant County                                                ,9.5%,6.2%,6.7%
04/01/1994,Mount Vernon-Anacortes MSA                                  ,10.4%,6.2%,6.7%
04/01/1994,Chelan County                                               ,10.3%,6.2%,6.7%
04/01/1994,Snohomish County                                            ,6.5%,6.2%,6.7%
04/01/1994,Yakima County                                               ,12.9%,6.2%,6.7%
04/01/1994,Spokane County                                              ,5%,6.2%,6.7%
04/01/1994,Asotin County                                               ,3.7%,6.2%,6.7%
04/01/1994,Longview MSA                                                ,9.3%,6.2%,6.7%
04/01/1994,Clallam County                                              ,11.7%,6.2%,6.7%
04/01/1994,Adams County                                                ,11.1%,6.2%,6.7%
04/01/1994,Kennewick-Richland-Pasco MSA                                ,6.2%,6.2%,6.7%
04/01/1994,Jefferson County                                            ,8.9%,6.2%,6.7%
04/01/1994,Benton County                                               ,5.2%,6.2%,6.7%
04/01/1994,King County                                                 ,5.3%,6.2%,6.7%
04/01/1994,Wahkiakum County                                            ,7.4%,6.2%,6.7%
04/01/1994,Mason County                                                ,9.8%,6.2%,6.7%
04/01/1994,Yakima MSA                                                  ,12.9%,6.2%,6.7%
04/01/1994,Garfield County                                             ,4.7%,6.2%,6.7%
04/01/1994,Bremerton-Silverdale MSA                                    ,6.6%,6.2%,6.7%
04/01/1994,Okanogan County                                             ,11.4%,6.2%,6.7%
04/01/1994,Douglas County                                              ,8.4%,6.2%,6.7%
04/01/1994,Lincoln County                                              ,5.4%,6.2%,6.7%
04/01/1994,Whatcom County                                              ,7.1%,6.2%,6.7%
04/01/1994,Cowlitz County                                              ,9.3%,6.2%,6.7%
04/01/1994,Pacific County                                              ,10.2%,6.2%,6.7%
04/01/1994,Stevens County                                              ,10.2%,6.2%,6.7%
04/01/1994,Lewis County                                                ,9.3%,6.2%,6.7%
04/01/1994,Whitman County                                              ,1.8%,6.2%,6.7%
05/01/1994,Seattle-Bellevue-Everett MSA                                ,5.5%,5.9%,6.2%
05/01/1994,San Juan County                                             ,6.1%,5.9%,6.2%
05/01/1994,Island County                                               ,4.4%,5.9%,6.2%
05/01/1994,Ferry County                                                ,11.6%,5.9%,6.2%
05/01/1994,Mount Vernon-Anacortes MSA                                  ,9.2%,5.9%,6.2%
05/01/1994,Spokane MSA                                                 ,4.5%,5.9%,6.2%
05/01/1994,Okanogan County                                             ,9.6%,5.9%,6.2%
05/01/1994,Bellingham MSA                                              ,7%,5.9%,6.2%
05/01/1994,Longview MSA                                                ,8.3%,5.9%,6.2%
05/01/1994,Douglas County                                              ,7.3%,5.9%,6.2%
05/01/1994,Lewis County                                                ,8.9%,5.9%,6.2%
05/01/1994,Kittitas County                                             ,8.3%,5.9%,6.2%
05/01/1994,King County                                                 ,5.2%,5.9%,6.2%
05/01/1994,Kennewick-Richland-Pasco MSA                                ,4.8%,5.9%,6.2%
05/01/1994,Benton County                                               ,4.5%,5.9%,6.2%
05/01/1994,Adams County                                                ,9.6%,5.9%,6.2%
05/01/1994,Clark County                                                ,3.9%,5.9%,6.2%
05/01/1994,Pierce County                                               ,6.6%,5.9%,6.2%
05/01/1994,Wahkiakum County                                            ,10.7%,5.9%,6.2%
05/01/1994,Jefferson County                                            ,8.4%,5.9%,6.2%
05/01/1994,Thurston County                                             ,6%,5.9%,6.2%
05/01/1994,Franklin County                                             ,5.9%,5.9%,6.2%
05/01/1994,Yakima MSA                                                  ,10.7%,5.9%,6.2%
05/01/1994,Grays Harbor County                                         ,13.3%,5.9%,6.2%
05/01/1994,Skamania County                                             ,9.5%,5.9%,6.2%
05/01/1994,Spokane County                                              ,4.5%,5.9%,6.2%
05/01/1994,Yakima County                                               ,10.7%,5.9%,6.2%
05/01/1994,Skagit County                                               ,9.2%,5.9%,6.2%
05/01/1994,Chelan County                                               ,9.3%,5.9%,6.2%
05/01/1994,Tacoma MSA                                                  ,6.6%,5.9%,6.2%
05/01/1994,Bremerton-Silverdale MSA                                    ,5.9%,5.9%,6.2%
05/01/1994,Olympia MSA                                                 ,6%,5.9%,6.2%
05/01/1994,Garfield County                                             ,3.3%,5.9%,6.2%
05/01/1994,Whatcom County                                              ,7%,5.9%,6.2%
05/01/1994,Asotin County                                               ,3.3%,5.9%,6.2%
05/01/1994,Pacific County                                              ,12.5%,5.9%,6.2%
05/01/1994,Mason County                                                ,9%,5.9%,6.2%
05/01/1994,Pend Oreille County                                         ,11.3%,5.9%,6.2%
05/01/1994,Stevens County                                              ,8.4%,5.9%,6.2%
05/01/1994,Cowlitz County                                              ,8.3%,5.9%,6.2%
05/01/1994,Kitsap County                                               ,5.9%,5.9%,6.2%
05/01/1994,Snohomish County                                            ,6.3%,5.9%,6.2%
05/01/1994,Columbia County                                             ,5.9%,5.9%,6.2%
05/01/1994,Whitman County                                              ,1.8%,5.9%,6.2%
05/01/1994,Grant County                                                ,8.6%,5.9%,6.2%
05/01/1994,Walla Walla County                                          ,4.3%,5.9%,6.2%
05/01/1994,Klickitat County                                            ,11.4%,5.9%,6.2%
05/01/1994,Clallam County                                              ,10.4%,5.9%,6.2%
05/01/1994,Lincoln County                                              ,4.8%,5.9%,6.2%
05/01/1994,Wenatchee MSA                                               ,8.6%,5.9%,6.2%
06/01/1994,Thurston County                                             ,6.4%,6.2%,6.3%
06/01/1994,Yakima MSA                                                  ,9.4%,6.2%,6.3%
06/01/1994,Wenatchee MSA                                               ,6.3%,6.2%,6.3%
06/01/1994,Tacoma MSA                                                  ,6.9%,6.2%,6.3%
06/01/1994,Spokane MSA                                                 ,4.9%,6.2%,6.3%
06/01/1994,Seattle-Bellevue-Everett MSA                                ,5.7%,6.2%,6.3%
06/01/1994,Olympia MSA                                                 ,6.4%,6.2%,6.3%
06/01/1994,Mount Vernon-Anacortes MSA                                  ,9.2%,6.2%,6.3%
06/01/1994,Longview MSA                                                ,8.6%,6.2%,6.3%
06/01/1994,Kennewick-Richland-Pasco MSA                                ,5%,6.2%,6.3%
06/01/1994,Bremerton-Silverdale MSA                                    ,6.2%,6.2%,6.3%
06/01/1994,Bellingham MSA                                              ,7.7%,6.2%,6.3%
06/01/1994,Yakima County                                               ,9.4%,6.2%,6.3%
06/01/1994,Whitman County                                              ,2.2%,6.2%,6.3%
06/01/1994,Whatcom County                                              ,7.7%,6.2%,6.3%
06/01/1994,Walla Walla County                                          ,3.8%,6.2%,6.3%
06/01/1994,Wahkiakum County                                            ,11.2%,6.2%,6.3%
06/01/1994,Stevens County                                              ,8.1%,6.2%,6.3%
06/01/1994,Spokane County                                              ,4.9%,6.2%,6.3%
06/01/1994,Snohomish County                                            ,6.4%,6.2%,6.3%
06/01/1994,Skamania County                                             ,9.3%,6.2%,6.3%
06/01/1994,Skagit County                                               ,9.2%,6.2%,6.3%
06/01/1994,San Juan County                                             ,5.2%,6.2%,6.3%
06/01/1994,Pierce County                                               ,6.9%,6.2%,6.3%
06/01/1994,Pend Oreille County                                         ,11.1%,6.2%,6.3%
06/01/1994,Pacific County                                              ,11.3%,6.2%,6.3%
06/01/1994,Okanogan County                                             ,7.8%,6.2%,6.3%
06/01/1994,Mason County                                                ,9.2%,6.2%,6.3%
06/01/1994,Lincoln County                                              ,4.7%,6.2%,6.3%
06/01/1994,Lewis County                                                ,8.8%,6.2%,6.3%
06/01/1994,Klickitat County                                            ,11.2%,6.2%,6.3%
06/01/1994,Kittitas County                                             ,8.4%,6.2%,6.3%
06/01/1994,Kitsap County                                               ,6.2%,6.2%,6.3%
06/01/1994,King County                                                 ,5.4%,6.2%,6.3%
06/01/1994,Jefferson County                                            ,8.4%,6.2%,6.3%
06/01/1994,Island County                                               ,4.9%,6.2%,6.3%
06/01/1994,Grays Harbor County                                         ,12.6%,6.2%,6.3%
06/01/1994,Grant County                                                ,8.6%,6.2%,6.3%
06/01/1994,Garfield County                                             ,3.2%,6.2%,6.3%
06/01/1994,Franklin County                                             ,5.9%,6.2%,6.3%
06/01/1994,Ferry County                                                ,10.9%,6.2%,6.3%
06/01/1994,Douglas County                                              ,6.2%,6.2%,6.3%
06/01/1994,Cowlitz County                                              ,8.6%,6.2%,6.3%
06/01/1994,Columbia County                                             ,5.5%,6.2%,6.3%
06/01/1994,Clark County                                                ,5%,6.2%,6.3%
06/01/1994,Clallam County                                              ,10.2%,6.2%,6.3%
06/01/1994,Chelan County                                               ,6.4%,6.2%,6.3%
06/01/1994,Benton County                                               ,4.7%,6.2%,6.3%
06/01/1994,Asotin County                                               ,3.4%,6.2%,6.3%
06/01/1994,Adams County                                                ,8.2%,6.2%,6.3%
07/01/1994,Clark County                                                ,4.1%,6.2%,6%
07/01/1994,Franklin County                                             ,8.1%,6.2%,6%
07/01/1994,Grant County                                                ,8.7%,6.2%,6%
07/01/1994,Clallam County                                              ,10%,6.2%,6%
07/01/1994,Stevens County                                              ,7.6%,6.2%,6%
07/01/1994,Jefferson County                                            ,7.8%,6.2%,6%
07/01/1994,Whitman County                                              ,2%,6.2%,6%
07/01/1994,Lincoln County                                              ,4.7%,6.2%,6%
07/01/1994,Chelan County                                               ,6.6%,6.2%,6%
07/01/1994,Skamania County                                             ,8.2%,6.2%,6%
07/01/1994,Yakima County                                               ,10.7%,6.2%,6%
07/01/1994,Ferry County                                                ,9.9%,6.2%,6%
07/01/1994,Benton County                                               ,4.7%,6.2%,6%
07/01/1994,Klickitat County                                            ,9.1%,6.2%,6%
07/01/1994,Pacific County                                              ,10.5%,6.2%,6%
07/01/1994,Kitsap County                                               ,5.9%,6.2%,6%
07/01/1994,Bellingham MSA                                              ,7.2%,6.2%,6%
07/01/1994,Asotin County                                               ,3.2%,6.2%,6%
07/01/1994,Pend Oreille County                                         ,10.6%,6.2%,6%
07/01/1994,Adams County                                                ,12.6%,6.2%,6%
07/01/1994,Thurston County                                             ,6.2%,6.2%,6%
07/01/1994,Okanogan County                                             ,8.3%,6.2%,6%
07/01/1994,Bremerton-Silverdale MSA                                    ,5.9%,6.2%,6%
07/01/1994,Skagit County                                               ,7.9%,6.2%,6%
07/01/1994,Kennewick-Richland-Pasco MSA                                ,5.5%,6.2%,6%
07/01/1994,Kittitas County                                             ,7.9%,6.2%,6%
07/01/1994,Spokane County                                              ,4.5%,6.2%,6%
07/01/1994,Mason County                                                ,8.1%,6.2%,6%
07/01/1994,Douglas County                                              ,5.6%,6.2%,6%
07/01/1994,Island County                                               ,4.6%,6.2%,6%
07/01/1994,Wahkiakum County                                            ,10.2%,6.2%,6%
07/01/1994,Lewis County                                                ,8.3%,6.2%,6%
07/01/1994,King County                                                 ,5%,6.2%,6%
07/01/1994,Longview MSA                                                ,7.5%,6.2%,6%
07/01/1994,Cowlitz County                                              ,7.5%,6.2%,6%
07/01/1994,Pierce County                                               ,6.5%,6.2%,6%
07/01/1994,Garfield County                                             ,3.4%,6.2%,6%
07/01/1994,Yakima MSA                                                  ,10.7%,6.2%,6%
07/01/1994,Walla Walla County                                          ,4.8%,6.2%,6%
07/01/1994,Wenatchee MSA                                               ,6.3%,6.2%,6%
07/01/1994,Tacoma MSA                                                  ,6.5%,6.2%,6%
07/01/1994,Spokane MSA                                                 ,4.5%,6.2%,6%
07/01/1994,Mount Vernon-Anacortes MSA                                  ,7.9%,6.2%,6%
07/01/1994,Seattle-Bellevue-Everett MSA                                ,5.1%,6.2%,6%
07/01/1994,Olympia MSA                                                 ,6.2%,6.2%,6%
07/01/1994,Snohomish County                                            ,5.7%,6.2%,6%
07/01/1994,San Juan County                                             ,4.1%,6.2%,6%
07/01/1994,Columbia County                                             ,5.4%,6.2%,6%
07/01/1994,Whatcom County                                              ,7.2%,6.2%,6%
07/01/1994,Grays Harbor County                                         ,11.8%,6.2%,6%
08/01/1994,Lincoln County                                              ,4.7%,5.9%,6%
08/01/1994,Thurston County                                             ,6.2%,5.9%,6%
08/01/1994,Stevens County                                              ,7.5%,5.9%,6%
08/01/1994,Walla Walla County                                          ,3.9%,5.9%,6%
08/01/1994,Spokane County                                              ,4.6%,5.9%,6%
08/01/1994,Snohomish County                                            ,5.6%,5.9%,6%
08/01/1994,Whatcom County                                              ,7.2%,5.9%,6%
08/01/1994,Skamania County                                             ,8.9%,5.9%,6%
08/01/1994,Skagit County                                               ,7.9%,5.9%,6%
08/01/1994,San Juan County                                             ,3.8%,5.9%,6%
08/01/1994,Pierce County                                               ,6.3%,5.9%,6%
